"",,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Compacto,FIAT,ARGO,DRIVE,1.3-8V,Combustão,M-5,S,E,F,,"35,130","227,710","2,685",A,0,95,"9,1","10,5","13,1","15,0",,"1,54",B,B,-,
"",Compacto,FIAT,CRONOS,DRIVE,1.3-8V,Combustão,M-5,S,E,F,,"37,405","336,280","2,391",A,0,93,"9,1","11,2","13,0","15,9",,"1,50",A,B,SIM,
"",Compacto,FIAT,CRONOS,1.3,1.3-8V,Combustão,M-5,S,E,F,,"37,405","336,280","2,391",A,0,93,"9,1","11,2","13,0","15,9",,"1,50",A,B,SIM,
"",Compacto,Hyundai,HB20,Sense,1.0-12V,Combustão,M-5,S,E,F,,"28,105","137,130","1,296",A,0,95,"9,8","10,7","13,1","15,0",,"1,50",A,B,SIM,
"",Compacto,Hyundai,HB20,Vision,1.0-12V,Combustão,M-5,S,E,F,,"28,105","137,130","1,296",A,0,95,"9,8","10,7","13,1","15,0",,"1,50",A,B,SIM,
"",Compacto,Hyundai,HB20,Evolution,1.0-12V,Combustão,M-5,S,E,F,,"28,105","137,130","1,296",A,0,95,"9,8","10,7","13,1","15,0",,"1,50",A,B,SIM,
"",Compacto,Hyundai,HB20,Sport,1.0-12V T,Combustão,A-6,S,E,F,,"15,575","77,315","2,391",A,0,101,"8,6","10,2","12,2","14,4",,"1,63",C,B,-,
"",Compacto,Hyundai,HB20,Vision,1.0-12V T,Combustão,A-6,S,E,F,,"14,990","91,910","2,436",A,0,102,"8,6","10,2","12,2","14,3",,"1,64",C,B,-,
"",Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,A-6,S,E,F,,"14,990","91,910","2,436",A,0,102,"8,6","10,2","12,2","14,3",,"1,64",C,B,-,
"",Compacto,Hyundai,HB20,Platinum Plus,1.0-12V T,Combustão,A-6,S,E,F,,"14,990","91,910","2,436",A,0,102,"8,6","10,2","12,2","14,3",,"1,64",C,B,-,
"",Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,M-6,S,E,F,,"18,415","70,595","2,247",A,0,91,"9,5","10,9","13,7","15,5",,"1,47",A,B,SIM,
"",Compacto,MINI,Cooper,S Electric,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"38,5","31,8",,"0,58",A,A,-,
"",Compacto,MINI,Cooper,S 5P,2.0 - 16V,Combustão,DCT-7,S,E-H,G,,"4,950","101,000","1,200",A,\,118,\,\,"10,3","13,2",,"1,91",E,C,-,
"",Compacto,MINI,JCW,Hatch 3P,2.0 - 16V,Combustão,A-8,S,E-H,G,,"6,260","133,800","0,350",A,\,116,\,\,"10,3","13,9",,"1,88",E,C,-,
"",Compacto,MINI,Cooper,S 3P,2.0 - 16V,Combustão,DCT-7,S,E-H,G,,"6,420","93,750","0,250",A,\,117,\,\,"10,3","13,4",,"1,90",E,C,-,
"",Compacto,PEUGEOT,E-208,GT,Elétrico,Elétrico,A-1,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"37,8","30,8",,"0,59",A,A,-,
"",Compacto,PEUGEOT,208,ACTIVE AT1,1.6-16V,Combustão,A-6,S,E,F,,"31,000","497,000","2,000",B,0,112,"7,7","9,1","11,1","12,9",,"1,82",E,C,-,
"",Compacto,PEUGEOT,208,ALLURE AT,1.6-16V,Combustão,A-6,S,E,F,,"31,000","497,000","2,000",B,0,112,"7,7","9,1","11,1","12,9",,"1,82",E,C,-,
"",Compacto,PEUGEOT,208,GRIFFE AT,1.6-16V,Combustão,A-6,S,E,F,,"31,000","497,000","2,000",B,0,112,"7,7","9,1","11,1","12,9",,"1,82",E,C,-,
"",Compacto,PEUGEOT,208,LIKE MT,1.0-6V,Combustão,MT-5,S,E,F,,"35,235","286,650","2,274",B,0,85,"10,4","11,3","14,7","16,3",,"1,37",A,B,SIM,
"",Compacto,PEUGEOT,208,STYLE MT,1.0-6V,Combustão,MT-5,S,E,F,,"38,605","385,350","3,900",B,0,91,"9,6","11,0","13,6","15,5",,"1,47",A,B,SIM,
"",Compacto,Renault,Sandero,SEDTION BS,1.0-12V,Combustão,M-5,S,E-H,F,,"57,400","133,000","2,520",B,0,93,"10,0","10,2","13,9","14,7",,"1,48",A,B,SIM,
"",Compacto,Renault,Sandero,SEDITION,1.0-12V,Combustão,M-5,S,E-H,F,,"57,400","133,000","2,520",B,0,93,"10,0","10,2","13,9","14,7",,"1,48",A,B,SIM,
"",Compacto,Renault,Sandero,LIFE10MT,1.0-12V,Combustão,M-5,S,E-H,F,,"57,400","133,000","2,520",B,0,93,"10,0","10,2","13,9","14,7",,"1,48",A,B,SIM,
"",Compacto,Renault,Sandero,RLIN,1.0-12V,Combustão,M-5,S,E-H,F,,"57,400","133,000","2,520",B,0,93,"10,0","10,2","13,9","14,7",,"1,48",A,B,SIM,
"",Compacto,Renault,Sandero,ZEN10MT,1.0-12V,Combustão,M-5,S,E-H,F,,"57,400","133,000","2,520",B,0,93,"10,0","10,2","13,9","14,7",,"1,48",A,B,SIM,
"",Compacto,VW,GOL,MPI,1.0-12V,Combustão,M - 5,S,H,F,,"38,050","164,010","3,553",B,0,92,"9,4","10,7","13,7","15,2",,"1,49",A,B,SIM,
"",Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,S,E,G,,"16,500","128,200","1,260",A,\,122,\,\,"10,2","12,4",,"1,98",E,C,-,
"",Médio,AUDI,A3 Sportback,Performance Black (ed.0),2.0 - 16V,Híbrido,A-7,S,E,G,,"16,500","128,200","1,260",A,\,122,\,\,"10,2","12,4",,"1,98",E,C,-,
"",Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,S,E,G,,"12,544","137,300","0,218",A,\,125,\,\,"10,0","11,9",,"2,03",E,C,-,
"",Médio,AUDI,A3 Sportback,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,G,,"12,544","137,300","0,218",A,\,125,\,\,"10,0","11,9",,"2,03",E,C,-,
"",Médio,BMW,118i,-,1.5 - 12V,Combustão,DCT-7,S,E-H,G,,"10,500","160,000","1,050",A,\,110,\,\,"11,5","13,0",,"1,78",C,C,-,
"",Médio,BMW,i3,120Ah BEV,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"47,7","39,4",,"0,47",A,A,-,
"",Médio,CHEVROLET,BOLT,LT,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"45,3","36,3",,"0,50",A,A,-,
"",Médio,CHEVROLET,BOLT,PREMIER,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"45,3","36,3",,"0,50",A,A,-,
"",Médio,CHEVROLET,ONIX,10MT HB,1.0 - 12 V,Combustão,M-6,S,E,F,,"37,020","335,082","3,660",B,0,88,"9,5","12,0","13,8","16,6",,"1,42",A,B,SIM,
"",Médio,CHEVROLET,ONIX,10MT LT1,1.0 - 12 V,Combustão,M-6,S,E,F,,"37,020","335,082","3,660",B,0,88,"9,5","12,0","13,8","16,6",,"1,42",A,B,SIM,
"",Médio,CHEVROLET,ONIX,10MT LT2,1.0 - 12 V,Combustão,M-6,S,E,F,,"37,020","335,082","3,660",B,0,88,"9,5","12,0","13,8","16,6",,"1,42",A,B,SIM,
"",Médio,CHEVROLET,ONIX,10TAT HB,1.0T - 12 V,Combustão,A-6,S,E,F,,"46,596","192,604","3,720",B,0,101,"8,4","10,4","11,9","15,1",,"1,64",B,B,-,
"",Médio,CHEVROLET,ONIX,10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,F,,"46,596","192,604","3,720",B,0,101,"8,4","10,4","11,9","15,1",,"1,64",B,B,-,
"",Médio,CHEVROLET,ONIX,10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,F,,"46,596","192,604","3,720",B,0,101,"8,4","10,4","11,9","15,1",,"1,64",B,B,-,
"",Médio,CHEVROLET,ONIX,10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,F,,"46,596","192,604","3,720",B,0,101,"8,4","10,4","11,9","15,1",,"1,64",B,B,-,
"",Médio,CHEVROLET,ONIX,10TAT RS,1.0T - 12 V,Combustão,A-6,S,E,F,,"35,168","165,242","1,980",B,0,105,"8,2","9,8","11,8","14,0",,"1,70",C,B,-,
"",Médio,CHEVROLET,ONIX,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,F,,"56,568","280,456","3,420",C,0,92,"9,1","11,1","13,1","16,1",,"1,50",A,B,SIM,
"",Médio,CHEVROLET,ONIX,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,F,,"56,568","280,456","3,420",C,0,92,"9,1","11,1","13,1","16,1",,"1,50",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10MT LT1,1.0 - 12 V,Combustão,M-6,S,E,F,,"53,222","354,342","3,420",C,0,86,"9,6","12,5","13,8","17,6",,"1,38",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10MT LT2,1.0 - 12 V,Combustão,M-6,S,E,F,,"53,222","354,342","3,420",C,0,86,"9,6","12,5","13,8","17,6",,"1,38",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10TAT NB,1.0T - 12 V,Combustão,A-6,S,E,F,,"45,441","216,337","3,480",B,0,95,"8,4","12,2","12,3","16,8",,"1,53",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,F,,"45,441","216,337","3,480",B,0,95,"8,4","12,2","12,3","16,8",,"1,53",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,F,,"45,441","216,337","3,480",B,0,95,"8,4","12,2","12,3","16,8",,"1,53",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,F,,"45,441","216,337","3,480",B,0,95,"8,4","12,2","12,3","16,8",,"1,53",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,F,,"47,416","277,286","3,960",B,0,89,"9,3","11,8","13,4","16,9",,"1,44",A,B,SIM,
"",Médio,CHEVROLET,ONIX PLUS,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,F,,"47,416","277,286","3,960",B,0,89,"9,3","11,8","13,4","16,9",,"1,44",A,B,SIM,
"",Médio,CHEVROLET,SPIN,1.8L AT LS,1.8L -8V,Combustão,A-6,S,E,F,,"28,213","327,277","1,440",B,0,118,"7,2","8,9","10,5","12,9",,"1,91",D,C,-,
"",Médio,CHEVROLET,SPIN,1.8L AT LT,1.8L -8V,Combustão,A-6,S,E,F,,"28,213","327,277","1,440",B,0,118,"7,2","8,9","10,5","12,9",,"1,91",D,C,-,
"",Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,S,E,F,,"37,520","320,948","2,400",B,0,124,"6,9","8,7","10,0","12,4",,"2,00",E,C,-,
"",Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,S,E,F,,"37,520","320,948","2,400",B,0,124,"6,9","8,7","10,0","12,4",,"2,00",E,C,-,
"",Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,S,E,F,,"33,769","303,555","2,130",B,0,125,"6,9","8,6","9,8","12,3",,"2,02",E,C,-,
"",Médio,CHEVROLET,SPIN,1.8L AT LT / 1.8L AT LS,1.8L -8V,Combustão,A-6,S,E,F,,"28,677","324,528","1,410",B,0,121,"7,2","8,8","10,2","12,6",,"1,94",D,C,-,
"",Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,S,E,F,,"33,769","303,555","2,130",B,0,125,"6,9","8,6","9,8","12,3",,"2,02",E,C,-,
"",Médio,HONDA,CITY,EX,1.5-16V,Combustão,CVT,S,E,F,,"19,700","93,100","1,350",A,0,94,"9,2","10,5","13,1","15,2",,"1,53",A,B,SIM,
"",Médio,HONDA,CITY,EXL,1.5-16V,Combustão,CVT,S,E,F,,"19,700","93,100","1,350",A,0,94,"9,2","10,5","13,1","15,2",,"1,53",A,B,SIM,
"",Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,CVT,S,E,F,,"19,700","93,100","1,350",A,0,94,"9,2","10,5","13,1","15,2",,"1,53",A,B,SIM,
"",Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,CVT,S,E,F,,"22,740","83,580","1,680",A,0,95,"9,1","10,5","13,3","14,8",,"1,53",A,B,SIM,
"",Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,CVT,S,E,F,,"22,740","83,580","1,680",A,0,95,"9,1","10,5","13,3","14,8",,"1,53",A,B,SIM,
"",Médio,Hyundai,HB20S,Vision,1.0-12V,Combustão,M-5,S,E,F,,"19,090","127,645","1,782",A,0,91,"10,0","10,6","13,7","15,2",,"1,46",A,B,SIM,
"",Médio,Hyundai,HB20S,Evolution,1.0-12V,Combustão,M-5,S,E,F,,"19,090","127,645","1,782",A,0,91,"10,0","10,6","13,7","15,2",,"1,46",A,B,SIM,
"",Médio,Hyundai,HB20S,Vision,1.0-12V T,Combustão,A-6,S,E,F,,"18,775","115,395","2,907",A,0,98,"8,6","10,9","12,3","15,5",,"1,58",B,B,-,
"",Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,A-6,S,E,F,,"18,775","115,395","2,907",A,0,98,"8,6","10,9","12,3","15,5",,"1,58",B,B,-,
"",Médio,Hyundai,HB20S,Platinum Plus,1.0-12V T,Combustão,A-6,S,E,F,,"18,775","115,395","2,907",A,0,98,"8,6","10,9","12,3","15,5",,"1,58",B,B,-,
"",Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,M-6,S,E,F,,"17,270","76,020","2,169",A,0,85,"10,1","11,9","14,3","16,9",,"1,37",A,B,SIM,
"",Médio,KIA,STONIC,MHEV EX,1.0 - 12V,Híbrido,DCT-7,S,E,G,,"38,730","144,600","0,360",A,\,95,\,\,"13,7","13,8",,"1,55",B,B,-,
"",Médio,KIA,STONIC,LX,1.0 - 12V,Híbrido,DCT-7,S,E,G,,"38,730","144,600","0,360",A,\,95,\,\,"13,7","13,8",,"1,55",B,B,-,
"",Médio,KIA,STONIC,SX,1.0 - 12V,Híbrido,DCT-7,S,E,G,,"38,730","144,600","0,360",A,\,95,\,\,"13,7","13,8",,"1,55",B,B,-,
"",Médio,KIA,STONIC,GT,1.0 - 12V,Híbrido,DCT-7,S,E,G,,"38,730","144,600","0,360",A,\,95,\,\,"13,7","13,8",,"1,55",B,B,-,
"",Médio,Mercedes-Benz,A250,,2.0-16V,Combustão,DCT-7,S,E,G,,"13,100","140,800","0,000",A,\,122,\,\,"9,7","13,5",,"1,97",E,C,-,
"",Médio,Mercedes-Benz,AMG A35 4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,,"34,800","81,000","1,690",A,\,139,\,\,"8,7","11,7",,"2,25",E,C,-,
"",Médio,MINI,Countryman,JCW,2.0 - 16V,Combustão,A-8,S,E-H,G,,"24,900","57,500","0,950",A,\,141,\,\,"8,8","10,8",,"2,29",E,C,-,
"",Médio,MINI,Countryman,PHEV,1.5 - 12V,Plug-in,A-6,S,E-H,G,,"10,150","127,500","0,454",A,\,59,\,\,"23,3","27,0",,"0,80",A,A,SIM,
"",Médio,Renault,Zoe,Life,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"34,4","27,4",,"0,66",A,A,-,
"",Médio,Renault,Zoe,Intense,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"34,4","27,4",,"0,66",A,A,-,
"",Médio,Renault,Logan,ZEN16CVT,1.6-16V,Combustão,CVT,S,E-H,F,,"40,600","223,000","3,800",B,0,119,"7,4","8,5","10,7","12,2",,"1,92",D,C,-,
"",Médio,Renault,Logan,LIFE,1.0-12V,Combustão,M-5,S,E-H,F,,"49,980","255,300","2,442",B,0,95,"9,6","9,8","13,6","14,4",,"1,53",A,B,SIM,
"",Médio,Renault,Logan,ZEN,1.0-12V,Combustão,M-5,S,E-H,F,,"49,980","255,300","2,442",B,0,95,"9,6","9,8","13,6","14,4",,"1,53",A,B,SIM,
"",Médio,TOYOTA,YARIS HATCHBACK,XS,1.5 - 16V,Combustão,CVT,S,E,F,,"34,860","336,605","2,000",B,0,103,"8,7","9,8","12,2","13,9",,"1,65",B,B,-,
"",Médio,TOYOTA,YARIS HATCHBACK,XL,1.5 - 16V,Combustão,CVT,S,E,F,,"34,860","336,605","2,000",B,0,103,"8,7","9,8","12,2","13,9",,"1,65",B,B,-,
"",Médio,TOYOTA,YARIS HATCHBACK,XLS,1.5 - 16V,Combustão,CVT,S,E,F,,"34,860","336,605","2,000",B,0,103,"8,7","9,8","12,2","13,9",,"1,65",B,B,-,
"",Médio,TOYOTA,YARIS SEDÃ,XS,1.5 - 16V,Combustão,CVT,S,E,F,,"32,888","303,733","1,794",B,0,97,"8,9","10,5","12,9","14,7",,"1,56",B,B,-,
"",Médio,TOYOTA,YARIS SEDÃ,XL,1.5 - 16V,Combustão,CVT,S,E,F,,"32,888","303,733","1,794",B,0,97,"8,9","10,5","12,9","14,7",,"1,56",B,B,-,
"",Médio,TOYOTA,YARIS SEDÃ,XLS,1.5 - 16V,Combustão,CVT,S,E,F,,"32,888","303,733","1,794",B,0,97,"8,9","10,5","12,9","14,7",,"1,56",B,B,-,
"",Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO,1.0-12V,Combustão,A - 6,S,E,F,,"48,820","211,407","2,911",B,0,102,"8,3","10,0","12,0","14,4",,"1,66",B,B,-,
"",Médio,VW,T CROSS,200TSI  AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,,"48,820","211,407","2,911",B,0,102,"8,3","10,0","12,0","14,4",,"1,66",B,B,-,
"",Médio,VW,T CROSS,"COMFORTLINE 200TSIAUTOMÁTICO",1.0-12V,Combustão,A - 6,S,E,F,,"48,820","211,407","2,911",B,0,102,"8,3","10,0","12,0","14,4",,"1,66",B,B,-,
"",Médio,VW,POLO,"COMFORTLINE 200TSIAUTOMATIC",1.0-12V,Combustão,A - 6,S,E,F,,"51,516","219,856","5,744",B,0,99,"8,4","10,3","12,2","15,1",,"1,62",B,B,-,
"",Médio,VW,POLO,"HIGHLINE 200TSIAUTOMATIC",1.0-12V,Combustão,A - 6,S,E,F,,"51,516","219,856","5,744",B,0,99,"8,4","10,3","12,2","15,1",,"1,62",B,B,-,
"",Médio,VW,VIRTUS,"COMFORTLINE 200TSIAUTOMATIC",1.0-12V,Combustão,A - 6,S,E,F,,"51,725","255,703","5,250",B,0,114,"8,3","10,5","12,0","14,9",,"1,64",B,B,-,
"",Médio,VW,VIRTUS,"HIGHLINE 200TSIAUTOMATIC",1.0-12V,Combustão,A - 6,S,E,F,,"51,725","255,703","5,250",B,0,114,"8,3","10,5","12,0","14,9",,"1,64",B,B,-,
"",Médio,VW,POLO,GTS  250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,F,,"36,037","141,750","4,117",B,0,106,"8,0","10,0","11,6","14,2",,"1,71",C,B,-,
"",Médio,VW,POLO,TSI MANUAL,1.0-12V,Combustão,M - 5,S,E,F,,"40,816","301,301","4,074",B,0,88,"9,6","11,6","13,8","16,5",,"1,42",A,B,SIM,
"",Médio,VW,VIRTUS,GTS  250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,F,,"39,785","190,932","3,497",B,0,102,"8,0","10,0","11,9","14,7",,"1,68",C,B,-,
"",Médio,VW,VIRTUS,TSI MANUAL,1.0-12V,Combustão,M - 5,S,E,F,,"43,399","227,479","4,119",B,0,89,"9,6","11,4","13,8","16,3",,"1,44",A,B,SIM,
"",Médio,VW,T CROSS,"HIGHLINE 250TSIAUTOMÁTICO",1.4-16V,Combustão,A - 6,S,E,F,,"44,876","214,907","4,261",B,0,104,"8,2","10,0","11,8","14,2",,"1,69",C,B,-,
"",Médio,VW,VIRTUS,TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,,"45,150","162,550","4,565",B,0,97,"8,7","11,0","12,4","15,6",,"1,57",B,B,-,
"",Médio,VW,POLO,MPI,1.0-12V,Combustão,M - 5,S,E,F,,"37,850","156,730","3,434",B,0,91,"9,5","10,9","13,8","15,5",,"1,47",A,B,SIM,
"",Médio,VW,VOYAGE,MPI,1.0-12V,Combustão,M - 5,S,H,F,,"40,000","154,700","3,892",B,0,91,"9,5","10,9","13,8","15,6",,"1,47",A,B,SIM,
"",Grande,AUDI,A3 Sedan,S line  (ed.0),2.0 - 16V,Híbrido,A-7,S,E,G,,"19,100","118,300","1,740",A,\,116,\,\,"10,5","13,1",,"1,89",B,C,-,
"",Grande,AUDI,A3 Sedan,Performance Black (ed.0),2.0 - 16V,Híbrido,A-7,S,E,G,,"19,100","118,300","1,740",A,\,116,\,\,"10,5","13,1",,"1,89",B,C,-,
"",Grande,AUDI,A3 Sedan,S line,2.0 - 16V,Híbrido,A-7,S,E,G,,"12,647","137,500","0,218",A,\,121,\,\,"10,2","12,6",,"1,96",C,C,-,
"",Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,G,,"12,647","137,500","0,218",A,\,121,\,\,"10,2","12,6",,"1,96",C,C,-,
"",Grande,BMW,218i,-,1.5 - 12V,Combustão,DCT-7,S,E-H,G,,"18,300","122,000","1,000",A,\,110,\,\,"11,2","13,6",,"1,78",A,C,-,
"",Grande,BMW,X1,S20i ActiveFlex,2.0 - 16V,Combustão,A-8,S,E-H,F,,"31,900","240,500","0,450",A,0,126,"6,8","8,4","9,8","12,2",,"2,04",D,C,-,
"",Grande,BMW,X1,sDrive 20i X Line,2.0 - 16V,Combustão,A-8,S,E-H,F,,"27,850","263,000","0,350",A,0,130,"6,7","8,3","9,5","11,7",,"2,09",D,C,-,
"",Grande,BMW,X1,sDrive 20i M Sport,2.0 - 16V,Combustão,A-8,S,E-H,F,,"27,850","263,000","0,350",A,0,130,"6,7","8,3","9,5","11,7",,"2,09",D,C,-,
"",Grande,CAOA CHERY,ARRIZO 5 E,E,Elétrico,Elétrico,A,S,E,F,,"0,000","0,000","0,000",A,0,0,"27,5","24,2","39,3","34,5",,"0,55",A,A,-,
"",Grande,CAOA CHERY,ARRIZO 6,PRO,1.5T -16V,Combustão,CVT,S,E,F,,"52,400","179,400","1,590",B,0,115,"7,4","9,2","10,6","13,4",,"1,86",B,C,-,
"",Grande,CAOA CHERY,ARRIZO 6,PLUS,1.5T -16V,Combustão,CVT,S,E,F,,"52,400","179,400","1,590",B,0,115,"7,4","9,2","10,6","13,4",,"1,86",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,LT NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,LTZ NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,PRE NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,PRE2 NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,MID NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE HB,LT HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,
"",Grande,CHEVROLET,CRUZE HB,LTZ HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,
"",Grande,CHEVROLET,CRUZE HB,PRE HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,
